"hgnc_symbol","uniprotswissprot"
"CYP2D6","P10635"
"PTPRC","P08575"
"MBP","P02686"
"DOK5","Q9P104"
"BMP7","P18075"
"TPMT","P51580"
"CYP2C19","P33261"
"ITGB2","P05107"
"AR","P10275"
"ANXA1","P04083"
"TYMS","P04818"
"TG","P01266"
"CYP1A2","P05177"
"NR3C1","P04150"
"MC2R","Q01718"
"HSD17B10","Q99714"
"GSTA1","P08263"
"CYP2C9","P11712"
"DROSHA","Q9NRR4"
"CXCL12","P48061"
"APOE","P02649"
"VWF","P04275"
"ABCB1","P08183"
"GATA3","P23771"
"GSTP1","P09211"
"CYP3A4","P08684"
"IFNG","P01579"
"CALCA","P06881"
"CALCA","P01258"
"CTLA4","P16410"
"GSTM1","P09488"
